Codigo;Empresa;Classes;Codigo_Yahoo;Indice_Bovespa;Tipo_Ativo
MILS3;MILLS;ON   NM;MILS3.SA;Não;Ação
BEEF3;MINERVA;ON   NM;BEEF3.SA;Sim;Ação
MTRE3;MITRE REALTY;ON   NM;MTRE3.SA;Não;Ação
MBLY3;MOBLY;ON   NM;MBLY3.SA;Não;Ação
MODL3;MODALMAIS;ON   NM;MODL3.SA;Não;Ação
M1RN34;MODERNA INC;DRN;M1RN34.SA;Não;Ação
MDNE3;MOURA DUBEUX;ON   NM;MDNE3.SA;Não;Ação
MOVI3;MOVIDA;ON   NM;MOVI3.SA;Não;Ação
MRVE3;MRV;ON   NM;MRVE3.SA;Sim;Ação
MLAS3;MULTILASER;ON   NM;MLAS3.SA;Não;Ação
MULT3;MULTIPLAN;ON   N2;MULT3.SA;Sim;Ação
NEOE3;NEOENERGIA;ON   NM;NEOE3.SA;Não;Ação
NGRD3;NEOGRID;ON   NM;NGRD3.SA;Não;Ação
NFLX34;NETFLIX;DRN;NFLX34.SA;Não;Ação
NVDC34;NVIDIA CORP;DRN;NVDC34.SA;Não;Ação
OPCT3;OCEANPACT;ON   NM;OPCT3.SA;Não;Ação
ODPV3;ODONTOPREV;ON   NM;ODPV3.SA;Não;Ação
MEGA3;OMEGAENERGIA;ON   NM;MEGA3.SA;Não;Ação
ONCO3;ONCOCLINICAS;ON   NM;ONCO3.SA;Não;Ação
ORVR3;ORIZON;ON   NM;ORVR3.SA;Não;Ação
PCAR3;P.ACUCAR-CBD;ON   NM;PCAR3.SA;Sim;Ação
PGMN3;PAGUE MENOS;ON   NM;PGMN3.SA;Não;Ação
PYPL34;PAYPAL HOLD;DRN;PYPL34.SA;Não;Ação
PDGR3;PDG REALT;ON   NM;PDGR3.SA;Não;Ação
PETR3;PETROBRAS;ON   N2;PETR3.SA;Sim;Ação
PETR4;PETROBRAS;PN   N2;PETR4.SA;Sim;Ação
RECV3;PETRORECSA;ON   NM;RECV3.SA;Não;Ação
PRIO3;PETRORIO;ON   NM;PRIO3.SA;Sim;Ação
PETZ3;PETZ;ON   NM;PETZ3.SA;Sim;Ação
PLPL3;PLANOEPLANO;ON   NM;PLPL3.SA;Não;Ação
PSSA3;PORTO SEGURO;ON   NM;PSSA3.SA;Não;Ação
PTBL3;PORTOBELLO;ON   NM;PTBL3.SA;Não;Ação
POSI3;POSITIVO TEC;ON   NM;POSI3.SA;Não;Ação
PRNR3;PRINER;ON   NM;PRNR3.SA;Não;Ação
PFRM3;PROFARMA;ON   NM;PFRM3.SA;Não;Ação
QUAL3;QUALICORP;ON   NM;QUAL3.SA;Sim;Ação
LJQQ3;QUERO-QUERO;ON   NM;LJQQ3.SA;Não;Ação
RADL3;RAIADROGASIL;ON   NM;RADL3.SA;Sim;Ação
RAIZ4;RAIZEN;PN   N2;RAIZ4.SA;Sim;Ação
