Codigo;Empresa;Classes;Codigo_Yahoo
SARE11;FII SANT REN;CI;SARE11.SA
SDIL11;FII SDI LOG;CI;SDIL11.SA
SPTW11;FII SP DOWNT;CI;SPTW11.SA
SNCI11;FII SUNO CRI;CI;SNCI11.SA
SNFF11;FII SUNOFOFI;CI;SNFF11.SA
TGAR11;FII TG ATIVO;CI;TGAR11.SA
TORD11;FII TORDE EI;CI;TORD11.SA
TRXF11;FII TRX REAL;CI;TRXF11.SA
URPR11;FII URCA REN;CI;URPR11.SA
VGHF11;FII VALOR HE;CI;VGHF11.SA
VGIP11;FII VALORAIP;CI;VGIP11.SA
VGIR11;FII VALREIII;CI;VGIR11.SA
CVBI11;FII VBI CRI;CI;CVBI11.SA
LVBI11;FII VBI LOG;CI;LVBI11.SA
PVBI11;FII VBI PRI;CI;PVBI11.SA
RVBI11;FII VBI REIT;CI;RVBI11.SA
VCJR11;FII VECTIS;CI;VCJR11.SA
VSLH11;FII VERS CRI;CI;VSLH11.SA
VIFI11;FII VINCI IF;CI;VIFI11.SA
VIUR11;FII VINCI IU;CI;VIUR11.SA
VILG11;FII VINCI LG;CI;VILG11.SA
VINO11;FII VINCI OF;CI;VINO11.SA
VISC11;FII VINCI SC;CI;VISC11.SA
VTLT11;FII VOT LOG;CI;VTLT11.SA
XPCI11;FII XP CRED;CI;XPCI11.SA
XPIN11;FII XP INDL;CI;XPIN11.SA
XPLG11;FII XP LOG;CI;XPLG11.SA
XPML11;FII XP MALLS;CI;XPML11.SA
XPPR11;FII XP PROP;CI;XPPR11.SA
XPSF11;FII XP SELEC;CI;XPSF11.SA
FLRY3;FLEURY;ON   NM;FLRY3.SA
FDMO34;FORD MOTORS;DRN;FDMO34.SA
FRAS3;FRAS-LE;ON   N1;FRAS3.SA
FCXO34;FREEPORT;DRN;FCXO34.SA
GFSA3;GAFISA;ON   NM;GFSA3.SA
GEOO34;GE;DRN;GEOO34.SA
GMCO34;GENERAL MOT;DRN;GMCO34.SA
GSHP3;GENERALSHOPP;ON;GSHP3.SA
GEPA4;GER PARANAP;PN;GEPA4.SA
GGBR3;GERDAU;ON   N1;GGBR3.SA
GGBR4;GERDAU;PN   N1;GGBR4.SA
GOAU3;GERDAU MET;ON   N1;GOAU3.SA
GOAU4;GERDAU MET;PN   N1;GOAU4.SA
GETT11;GETNET BR;UNT;GETT11.SA
NINJ3;GETNINJAS;ON   NM;NINJ3.SA
GOLL4;GOL;PN   N2;GOLL4.SA
GSGI34;GOLDMANSACHS;DRN;GSGI34.SA
GGPS3;GPS;ON   NM;GGPS3.SA
CGRA3;GRAZZIOTIN;ON;CGRA3.SA
